session,touch,time,data,time_sec,touch_type
0,2,14,0.0,-0.16666666666666727,Body-to-body contact
0,2,15,0.0,0.16666666666666666,Body-to-body contact
0,2,16,0.0,0.49999999999999967,Body-to-body contact
0,2,17,0.0,0.8333333333333327,Body-to-body contact
0,2,18,0.0,1.1666666666666667,Body-to-body contact
0,2,19,0.0,1.4999999999999998,Body-to-body contact
0,2,20,0.0,1.8333333333333328,Body-to-body contact
0,2,21,0.0,2.1666666666666665,Body-to-body contact
0,2,22,0.0,2.4999999999999996,Body-to-body contact
0,2,23,0.0,2.8333333333333326,Body-to-body contact
0,2,24,0.0,3.1666666666666665,Body-to-body contact
0,2,25,0.0,3.4999999999999987,Body-to-body contact
0,2,26,0.0,3.8333333333333326,Body-to-body contact
0,2,27,0.0,4.166666666666667,Body-to-body contact
0,2,28,0.0,4.499999999999999,Body-to-body contact
0,2,29,0.0,4.833333333333333,Body-to-body contact
0,2,30,0.0,5.166666666666667,Body-to-body contact
0,2,31,0.0,5.499999999999999,Body-to-body contact
0,2,32,0.0,5.833333333333333,Body-to-body contact
0,2,33,0.0,6.166666666666667,Body-to-body contact
0,2,34,0.0,6.499999999999999,Body-to-body contact
0,2,35,0.0,6.833333333333333,Body-to-body contact
0,2,36,0.0,7.166666666666667,Body-to-body contact
0,2,37,0.0,7.499999999999999,Body-to-body contact
0,2,38,0.0,7.833333333333333,Body-to-body contact
0,2,39,0.0,8.166666666666666,Body-to-body contact
0,2,40,0.0,8.499999999999998,Body-to-body contact
0,2,41,0.0,8.833333333333332,Body-to-body contact
0,2,42,0.0,9.166666666666666,Body-to-body contact
0,2,43,0.0,9.499999999999998,Body-to-body contact
0,2,44,0.0,9.833333333333332,Body-to-body contact
0,3,0,0.0,-4.833333333333333,Snout-to-body contact
0,3,1,0.0,-4.5,Snout-to-body contact
0,3,2,0.0,-4.166666666666666,Snout-to-body contact
0,3,3,0.0,-3.8333333333333335,Snout-to-body contact
0,3,4,0.0,-3.5000000000000004,Snout-to-body contact
0,3,5,0.0,-3.166666666666667,Snout-to-body contact
0,3,6,0.0,-2.8333333333333335,Snout-to-body contact
0,3,7,0.0,-2.5000000000000004,Snout-to-body contact
0,3,8,0.0,-2.166666666666667,Snout-to-body contact
0,3,9,0.0,-1.8333333333333333,Snout-to-body contact
0,3,10,0.0,-1.5000000000000002,Snout-to-body contact
0,3,11,0.0,-1.1666666666666667,Snout-to-body contact
0,3,12,0.0,-0.8333333333333334,Snout-to-body contact
0,3,13,0.0,-0.5000000000000003,Snout-to-body contact
0,3,14,0.0,-0.16666666666666727,Snout-to-body contact
0,3,15,0.0,0.16666666666666666,Snout-to-body contact
0,3,16,0.0,0.49999999999999967,Snout-to-body contact
0,3,17,0.0,0.8333333333333327,Snout-to-body contact
0,3,18,0.0,1.1666666666666667,Snout-to-body contact
0,3,19,0.0,1.4999999999999998,Snout-to-body contact
0,3,20,0.0,1.8333333333333328,Snout-to-body contact
0,3,21,0.0,2.1666666666666665,Snout-to-body contact
0,3,22,0.0,2.4999999999999996,Snout-to-body contact
0,3,23,0.0,2.8333333333333326,Snout-to-body contact
0,3,24,0.0,3.1666666666666665,Snout-to-body contact
0,3,25,0.0,3.4999999999999987,Snout-to-body contact
0,3,26,0.0,3.8333333333333326,Snout-to-body contact
0,3,27,0.0,4.166666666666667,Snout-to-body contact
0,3,28,0.0,4.499999999999999,Snout-to-body contact
0,3,29,0.0,4.833333333333333,Snout-to-body contact
0,3,30,0.0,5.166666666666667,Snout-to-body contact
0,3,31,0.0,5.499999999999999,Snout-to-body contact
0,3,32,0.0,5.833333333333333,Snout-to-body contact
0,3,33,0.0,6.166666666666667,Snout-to-body contact
0,3,34,0.0,6.499999999999999,Snout-to-body contact
0,3,35,0.0,6.833333333333333,Snout-to-body contact
0,3,36,0.0,7.166666666666667,Snout-to-body contact
0,3,37,0.0,7.499999999999999,Snout-to-body contact
0,3,38,0.0,7.833333333333333,Snout-to-body contact
0,3,39,0.0,8.166666666666666,Snout-to-body contact
0,3,40,0.0,8.499999999999998,Snout-to-body contact
0,3,41,0.0,8.833333333333332,Snout-to-body contact
0,3,42,0.0,9.166666666666666,Snout-to-body contact
0,3,43,0.0,9.499999999999998,Snout-to-body contact
0,3,44,0.0,9.833333333333332,Snout-to-body contact
0,4,0,0.0,-4.833333333333333,Anogenital sniffing
0,4,1,0.0,-4.5,Anogenital sniffing
